step,epoch,d_loss_real,d_loss_fake,d_loss_avg,g_loss_total,g_loss_adversarial,g_loss_l1,learning_rate
1,0,7.606463432312012,6.061506271362305,6.833984851837158,32875.3828125,8.84295654296875,328.6654052734375,0.00019999999494757503
2,0,6.648570537567139,6.081918716430664,6.3652448654174805,30402.9921875,8.939383506774902,303.9405212402344,0.00019999999494757503
3,0,6.473865509033203,6.199745178222656,6.33680534362793,28521.19921875,8.996461868286133,285.12200927734375,0.00019999999494757503
4,0,6.454427719116211,6.261137008666992,6.357782363891602,27548.498046875,8.805574417114258,275.39691162109375,0.00019999999494757503
5,0,6.398578643798828,6.238090991973877,6.318334579467773,26677.734375,8.595473289489746,266.6913757324219,0.00019999999494757503
6,0,6.336308002471924,6.215110778808594,6.27570915222168,25750.35546875,8.532954216003418,257.418212890625,0.00019999999494757503
7,0,6.337464809417725,6.235900402069092,6.286682605743408,24910.130859375,8.494513511657715,249.01632690429688,0.00019999999494757503
8,0,6.33407735824585,6.2427287101745605,6.288403034210205,24243.84765625,8.434503555297852,242.35411071777344,0.00019999999494757503
9,0,6.301324367523193,6.222467422485352,6.261896133422852,23663.091796875,8.431076049804688,236.54660034179688,0.00019999999494757503
10,0,6.267491817474365,6.199506759643555,6.233499526977539,23130.6875,8.415190696716309,231.2227020263672,0.00019999999494757503
11,0,6.261274814605713,6.180541515350342,6.220908164978027,22677.71484375,8.373331069946289,226.6934051513672,0.00019999999494757503
12,0,6.226335048675537,6.162921905517578,6.194628715515137,22233.591796875,8.37782096862793,222.25213623046875,0.00019999999494757503
13,0,6.216457366943359,6.1581645011901855,6.187311172485352,21867.490234375,8.343433380126953,218.59146118164062,0.00019999999494757503
14,0,6.203799724578857,6.152315616607666,6.178057670593262,21580.177734375,8.319459915161133,215.7185821533203,0.00019999999494757503
15,0,6.191217422485352,6.14320707321167,6.16721248626709,21195.951171875,8.289128303527832,211.87661743164062,0.00019999999494757503
16,0,6.177648544311523,6.138775825500488,6.158212184906006,20916.826171875,8.28607177734375,209.0854034423828,0.00019999999494757503
17,0,6.175088405609131,6.1370368003845215,6.156062602996826,20618.83984375,8.286446571350098,206.10552978515625,0.00019999999494757503
18,0,6.180420875549316,6.143755912780762,6.162088394165039,20289.65625,8.286417007446289,202.8136749267578,0.00019999999494757503
19,0,6.171132564544678,6.145805835723877,6.158469200134277,20020.388671875,8.267207145690918,200.12120056152344,0.00019999999494757503
20,0,6.169372081756592,6.141167163848877,6.155269622802734,19756.130859375,8.241832733154297,197.47886657714844,0.00019999999494757503
21,0,6.167720317840576,6.134462833404541,6.151091575622559,19530.642578125,8.253207206726074,195.22389221191406,0.00019999999494757503
22,0,6.155343055725098,6.127002716064453,6.141172885894775,19349.076171875,8.243734359741211,193.4083251953125,0.00019999999494757503
23,0,6.144975662231445,6.117684364318848,6.1313300132751465,19160.3828125,8.224238395690918,191.52159118652344,0.00019999999494757503
24,0,6.150206565856934,6.117396354675293,6.133801460266113,18938.84765625,8.254587173461914,189.30593872070312,0.00019999999494757503
25,0,6.140716552734375,6.116354465484619,6.128535270690918,18770.759765625,8.228687286376953,187.62530517578125,0.00019999999494757503
26,0,6.139369010925293,6.117132186889648,6.128250598907471,18561.310546875,8.220070838928223,185.53089904785156,0.00019999999494757503
27,0,6.145617485046387,6.126307010650635,6.13596248626709,18386.837890625,8.231111526489258,183.7860870361328,0.00019999999494757503
28,0,6.150922775268555,6.129191875457764,6.140057563781738,18162.865234375,8.210994720458984,181.5465545654297,0.00019999999494757503
29,0,6.141005039215088,6.117071151733398,6.129037857055664,18052.01171875,8.186938285827637,180.43826293945312,0.00019999999494757503
30,0,6.132056713104248,6.117815017700195,6.124936103820801,17891.412109375,8.160263061523438,178.83251953125,0.00019999999494757503
