sample_id,ssim
0,0.7927860617637634
1,0.7308411002159119
2,0.7355179190635681
3,0.7397549748420715
4,0.8324272036552429
5,0.7397549748420715
6,0.8059284090995789
7,0.7677640914916992
8,0.7769307494163513
9,0.7719464898109436
10,0.7181333899497986
11,0.8433384299278259
12,0.8599231839179993
13,0.7767478823661804
14,0.7828004360198975
15,0.8324272036552429
16,0.7409448027610779
17,0.6940011382102966
18,0.7710250020027161
19,0.7296498417854309
20,0.7132299542427063
21,0.7132277488708496
22,0.7863616347312927
23,0.7397549748420715
24,0.7670533657073975
25,0.7312538027763367
26,0.7827543616294861
27,0.766660213470459
28,0.8379254341125488
29,0.7615553736686707
30,0.8267972469329834
31,0.7433822751045227
32,0.7779837250709534
33,0.7181333899497986
34,0.7704864144325256
35,0.7230430245399475
36,0.7802562713623047
37,0.7397549748420715
38,0.8110833764076233
39,0.5634621977806091
40,0.7268218994140625
41,0.7272613644599915
42,0.795645534992218
43,0.7548527121543884
44,0.8349311947822571
45,0.7251352667808533
46,0.8324272036552429
47,0.8514986634254456
48,0.778832197189331
49,0.7561249732971191
50,0.7132277488708496
51,0.6762738823890686
52,0.706973135471344
53,0.73184734582901
54,0.7548527121543884
55,0.7230430245399475
56,0.8433384299278259
57,0.7927860617637634
58,0.7355179190635681
59,0.8324272036552429
60,0.6937665939331055
61,0.7765659689903259
62,0.5634621977806091
63,0.7765659689903259
64,0.7779837250709534
65,0.7251352667808533
66,0.7929413914680481
67,0.7267797589302063
68,0.6312779784202576
69,0.8240542411804199
70,0.7156651616096497
71,0.7769307494163513
72,0.7802841067314148
73,0.7391447424888611
74,0.6925497651100159
75,0.5634621977806091
76,0.5634621977806091
77,0.6877989768981934
78,0.7451674342155457
79,0.8064882755279541
80,0.7397549748420715
81,0.7132299542427063
82,0.73184734582901
83,0.8852100372314453
84,0.7373692989349365
85,0.7367343306541443
86,0.7710250020027161
87,0.7378120422363281
88,0.7831587195396423
89,0.8170618414878845
90,0.6312779784202576
91,0.7391447424888611
92,0.7828004360198975
93,0.7831587195396423
94,0.8751512169837952
95,0.7769307494163513
96,0.8297577500343323
97,0.7993857264518738
98,0.8349266648292542
99,0.7272542119026184
MEAN,0.7558309996128082
STD,0.062387289065219356
MIN,0.5634621977806091
MAX,0.8852100372314453
